date,open,high,low,close,adjusted_close,volume
2021-11-23,2942.26,2953.88,2897.79,2935.14,146.5902,18133140
2021-11-24,2927.0,2940.0,2903.98,2934.35,146.5507,16464060
2021-11-26,2900.31,2905.94,2849.71,2856.12,142.6437,16992120
2021-11-29,2885.97,2937.24,2885.97,2922.28,145.9479,26276120
2021-11-30,2909.005,2932.57,2841.32,2849.04,142.2901,41590520
2021-12-01,2884.25,2929.983,2830.0,2832.36,141.457,28545780
2021-12-02,2836.48,2893.5,2819.64,2875.53,143.6131,21250700
2021-12-03,2889.91,2904.26,2823.0,2850.41,142.3585,26687480
2021-12-06,2871.48,2887.03,2812.94,2875.93,143.633,22197700
2021-12-07,2919.0,2966.0,2914.05,2960.73,147.8682,23258280
2021-12-08,2966.63,2983.13,2944.0,2974.41,148.5515,18963940
2021-12-09,2963.52,2992.1,2950.58,2962.12,147.9376,18580600
2021-12-10,2982.0,2988.0,2947.15,2973.5,148.506,21638460
2021-12-13,2968.88,2971.25,2927.2,2934.09,146.5377,24103920
2021-12-14,2895.4,2908.84,2844.85,2899.41,144.8057,24778800
2021-12-15,2887.32,2950.345,2854.11,2947.37,147.201,27280960
2021-12-16,2961.54,2971.03,2881.85,2896.77,144.6739,27399740
2021-12-17,2854.29,2889.202,2835.76,2856.06,142.6407,43404700
2021-12-20,2813.592,2852.21,2805.0,2848.03,142.2396,20263520
2021-12-21,2863.0,2893.841,2834.7,2884.41,144.0566,19551940
2021-12-22,2882.0,2946.06,2879.26,2938.98,146.782,18440480
2021-12-23,2941.79,2971.452,2939.017,2942.85,146.9752,13818680
2021-12-27,2949.27,2968.53,2945.0,2961.28,147.8957,13259320
2021-12-28,2967.49,2967.49,2918.71,2928.96,146.2815,18635840
2021-12-29,2928.59,2943.675,2910.09,2930.09,146.338,17024720
2021-12-30,2929.0,2941.25,2915.17,2920.05,145.8365,12977020
2021-12-31,2910.88,2927.3,2893.55,2893.59,144.515,17297700
2022-01-03,2889.51,2911.0,2870.05,2901.49,144.9096,25224500
2022-01-04,2911.01,2932.2,2876.323,2888.33,144.2523,22927780
2022-01-05,2883.62,2885.96,2750.47,2753.07,137.497,49641520
2022-01-06,2749.95,2793.72,2735.27,2751.02,137.3946,29049040
2022-01-07,2758.1,2765.095,2715.78,2740.09,136.8488,19408240
2022-01-10,2701.98,2772.8,2662.81,2771.48,138.4165,34095680
2022-01-11,2763.61,2806.59,2736.27,2800.35,139.8583,23501240
2022-01-12,2831.09,2856.285,2822.24,2832.96,141.487,23641580
2022-01-13,2836.81,2863.71,2778.28,2782.62,138.9729,26565080
2022-01-14,2750.0,2824.01,2750.0,2795.73,139.6276,23825920
2022-01-18,2732.0,2747.83,2712.34,2725.81,136.1356,27401960
2022-01-19,2738.77,2767.99,2710.0,2713.04,135.4978,20795280
2022-01-20,2730.28,2758.24,2662.89,2670.13,133.3547,21930560
2022-01-21,2660.24,2695.21,2600.02,2601.84,129.9441,41919220
2022-01-24,2520.55,2615.57,2492.839,2607.44,130.2238,55292040
2022-01-25,2568.71,2586.77,2527.56,2534.71,126.5914,36008600
2022-01-26,2611.85,2656.15,2543.07,2584.8,129.0931,39630880
2022-01-27,2627.22,2652.199,2578.9,2582.42,128.9742,30285020
2022-01-28,2600.0,2667.41,2573.89,2665.79,133.138,30517560
2022-01-31,2683.96,2716.87,2645.48,2713.97,135.5443,34055560
